# provenance
# target	aptus data-acquisition brief target 3 — what SAP does NOT support (negative evidence register)
# source	help.sap.com, product SAP S/4HANA Cloud Public Edition, version 2608.500, state PRODUCTION
# source_url	one per row, in the source_url column; every row cites the exact topic it was read from
# access_method	anonymous reads of help.sap.com's own published content service (http.svc/deliverableMetadata, http.svc/pagecontent). No login, no api.sap.com traffic, no DOM scraping.
# date_read	2026-09-07
# deliverables_read	55 (40 country/region localisation deliverables including Malaysia, plus SAP Document and Reporting Compliance, Country/Region-Specific Functions, Extend and Integrate, Extensibility for Electronic Document Processing, SAP Intelligent Real Estate, Manage, Protect, International Trade, Finance, Contract Accounting, Public Sector, Banking, Insurance, Oil & Gas, and the 3-system-landscape migration troubleshooting guide)
# topics_read	13176 listed in those deliverables' tables of contents; 12959 returned a body
# statements_found	659 sentences matched the negation patterns; 539 kept after the filters below
# extraction_rule	sentence-level. A sentence is kept when it contains one of: is/are/was/were/can/could/will/would/shall/may/might/do/does/did/has/have + not + (supported|available|released|possible|permitted|allowed|covered|provided|delivered|offered); does/do not support; is/are unsupported; not supported by/for/in/with/on; no plans/support to/for; out of scope; is not part of; is/are excluded from; is/are not in scope.
# filter_rule	dropped 90 sentences opening with a conditional connector (If/When/Unless/Since/Because/While/Although/In case/...) and 20 whose negated subject is itself a conditional clause, because those state a condition rather than a product limitation; dropped 4 affirmative sentences ("You can ...") whose negation sits in a parenthetical relative clause; dropped 1 describing a transient example state; dropped 5 whose subject could not be isolated.
# column_source	capability=the title of the SAP topic the sentence was read from, verbatim. It is SAP's heading, NOT an aptus classification.
# column_source	scope_item_ids=scope item codes appearing IN THE SENTENCE ITSELF and present in the 2608 scope item set (sap-references/2608 Scope sheet, plus the codes in the published Available Interfaces table). Empty on most rows because SAP writes these statements about features, not scope items — an empty cell is not a claim that no scope item is affected.
# column_source	country=the country/region deliverable the topic belongs to; where the topic is not in a country deliverable, a country named explicitly in the sentence. Empty means the statement is product-wide or SAP did not name a country.
# column_source	what_is_not_supported=mechanically extracted from SAP's own sentence: the text preceding the negation verb, after the last connector (however/but/although/while/;/because/since/therefore) and with a leading conjunction stripped. Where nothing precedes the negation, the text following it is used. No wording was added.
# column_source	sap_statement_verbatim=the sentence exactly as SAP published it, whitespace-normalised only. Never softened, never paraphrased, never turned into a caveat.
# column_source	source_type=Help on every row. SAP Notes and Knowledge Base Articles live behind authentication on me.sap.com and were NOT read in this pass, so the KBA and Note families named in the brief are still unharvested — this file is the Help-portal slice of the register, not the register.
# column_source	source_id=the SAP loio, SAP's own stable document id for the topic
# column_source	released_on=empty on every row: help.sap.com publishes a content release (2608) for the document, not a release date for the individual statement. The release for every row in this file is 2608.
# column_source	future_support_stated=a clause from the same or the next sentence in which SAP says something about future support (no plans / not planned / in a future release / currently not / as of now / not yet), verbatim. Empty means SAP said nothing about the future there, NOT that support is planned.
# completeness	floor, and deliberately so. 55 of the product's deliverables were read, chosen because localisation and compliance content is where exclusions are stated; the other ~76 discovered deliverables and every deliverable outside this product were not read. The register is a lower bound on published exclusions, not a census.
# known_gap	the brief's own example — the Real Estate (RE-FX) invoice exclusion from the Malaysian e-invoice solution — is NOT in this file. It was not found on any help.sap.com page reachable without authentication in this pass. It is the class of statement SAP publishes in a KBA, and KBAs need a signed-in me.sap.com session. That gap is stated rather than filled.
# countries_covered	Austria=6, Belgium=4, Brazil=12, Chile=3, China=8, Colombia=9, Croatia=6, Czech Republic=2, Denmark=4, Egypt=4, Finland=2, France=5, Greece=5, Hungary=11, India=26, Ireland=6, Italy=10, Kazakhstan=4, Luxembourg=2, Malaysia=11, Mexico=11, Netherlands=5, Peru=6, Poland=19, Portugal=16, Romania=14, Slovakia=4, Slovenia=2, South Korea=8, Spain=8, Sweden=5, Switzerland=4, Taiwan=3, Thailand=4, Turkey=2, Ukraine=2, United Kingdom=7, United States=15
# rows_without_country	264
# not_claimed	this file states what SAP publishes for release 2608. It says nothing about what any tenant has activated.
capability	scope_item_ids	country	what_is_not_supported	sap_statement_verbatim	source_type	source_id	source_url	released_on	future_support_stated
CTR Complementary Table Data Maintenance		Brazil	With this service, it	With this service, it is not possible to change:	Help	795ae952dbbc494fbaae5ee7e57fac5a	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/795ae952dbbc494fbaae5ee7e57fac5a.html?version=2608.500		
Configuration for EFD-Reinf Closing Files		Brazil	the manual submission (that is, the manual or electronic file format or data for manual input)	Note that the manual submission (that is, the manual or electronic file format or data for manual input) is not supported.	Help	61153af8984f405eb36320dd6f2a33d8	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/61153af8984f405eb36320dd6f2a33d8.html?version=2608.500		
Configuration for EFD-Reinf Exclusion Files		Brazil	the manual submission (that is, the manual or electronic file format or data for manual input)	Note that the manual submission (that is, the manual or electronic file format or data for manual input) is not supported.	Help	6d70ed4f5998432d92b3823100cd5614	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/6d70ed4f5998432d92b3823100cd5614.html?version=2608.500		
Configuration for EFD-Reinf Table Files Report		Brazil	the manual submission (that is, the manual or electronic file format or data for manual input)	Note that the manual submission (that is, the manual or electronic file format or data for manual input) is not supported.	Help	62d6c2d49de04752a8dc3586a00925f3	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/62d6c2d49de04752a8dc3586a00925f3.html?version=2608.500		
Creating EPEC Event		Brazil	Create an Event Prior to Contingency (Evento Prévio de Emissão de Contingência) to activate when it	Create an Event Prior to Contingency (Evento Prévio de Emissão de Contingência) to activate when it is not possible to successfully send the NF-e for approval to Brazilian tax authority (SEFAZ) using the regular contingency process.	Help	b20b81cba63a4445a47ae57fadf5de61	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/b20b81cba63a4445a47ae57fadf5de61.html?version=2608.500		
Creating EPEC Event	SVC	Brazil	You post an NF-e under contingency, and the SEFAZ virtual contingency (SVC)	You post an NF-e under contingency, and the SEFAZ virtual contingency (SVC) is not available for your region.	Help	b20b81cba63a4445a47ae57fadf5de61	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/b20b81cba63a4445a47ae57fadf5de61.html?version=2608.500		
Creating Events		Brazil	Create an Event Prior to Contingency (Evento Prévio de Emissão de Contingência) to activate when it	Create an Event Prior to Contingency (Evento Prévio de Emissão de Contingência) to activate when it is not possible to successfully send the NF-e for approval to Brazilian tax authority (SEFAZ) using the regular contingency process.	Help	971b7503bfc045c7b18ba90a83c4b5e1	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/971b7503bfc045c7b18ba90a83c4b5e1.html?version=2608.500		
Extensibility for Fiscal Documents		Brazil	You use this BAdI to support electronic fiscal documents for a specific city or layout in case the groups	You use this BAdI to support electronic fiscal documents for a specific city or layout in case the groups are not supported in the standard SAP system.	Help	7842b058f5c6427ca8fa61666b668b43	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/7842b058f5c6427ca8fa61666b668b43.html?version=2608.500		
Purchasing a Service Using Gross Price		Brazil	Creating mixed purchase orders (that is, with service item(s) and product item(s))	Creating mixed purchase orders (that is, with service item(s) and product item(s)) is not supported - this will cause the system to use the net price.	Help	60c2dbf294a54fc9be3d98dca8f8e5c4	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/60c2dbf294a54fc9be3d98dca8f8e5c4.html?version=2608.500		
Statutory Reporting Task		Brazil	With this service, it	With this service, it is not possible to change:	Help	e6a4f087f014427f87665e15a7fdc3cd	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0864cb07010642b3bde45a20de4975bc/e6a4f087f014427f87665e15a7fdc3cd.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Chile	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	50476deedf104b249350b145a8554025	https://help.sap.com/docs/SAP_S4HANA_CLOUD/511decb0856842b682bbd337c81db5ca/50476deedf104b249350b145a8554025.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Chile	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	83c66954933242489aa6ce316d3db0f2	https://help.sap.com/docs/SAP_S4HANA_CLOUD/511decb0856842b682bbd337c81db5ca/83c66954933242489aa6ce316d3db0f2.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Chile	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	f4b28813962644bea77102fe08691875	https://help.sap.com/docs/SAP_S4HANA_CLOUD/511decb0856842b682bbd337c81db5ca/f4b28813962644bea77102fe08691875.html?version=2608.500		
Activating Official Document Numbering in Convergent Invoicing		China	Official document numbering (ODN)	Official document numbering (ODN) is not available for China in the standard system, but you can activate it and then configure it according to your requirements.	Help	fbcebeee8466407ca06a7fb0aa570734	https://help.sap.com/docs/SAP_S4HANA_CLOUD/147436affce24e81892eee2076a78116/fbcebeee8466407ca06a7fb0aa570734.html?version=2608.500		
Activation of Official Document Numbering in Convergent Invoicing		China	Official document numbering (ODN)	Official document numbering (ODN) is not available for China in the standard system, but you can activate it.	Help	7e81fe1c356a4cf8918126899eef401b	https://help.sap.com/docs/SAP_S4HANA_CLOUD/147436affce24e81892eee2076a78116/7e81fe1c356a4cf8918126899eef401b.html?version=2608.500		
Business Partner End of Purpose (EoP) Check in Golden Tax Interface		China	Furthermore, it	Furthermore, it is not possible to copy a business object or perform follow-up activities for a business object that contains blocked data, and you cannot search for blocked data or search for a business object using blocked data in the search criteria.	Help	be1193a472c04116957b241bb06d679e	https://help.sap.com/docs/SAP_S4HANA_CLOUD/147436affce24e81892eee2076a78116/be1193a472c04116957b241bb06d679e.html?version=2608.500		
Business Partner End of Purpose (EoP) Check in Incoming VAT Invoice		China	Furthermore, it	Furthermore, it is not possible to copy a business object or perform follow-up activities for a business object that contains blocked data, and you cannot search for blocked data or search for a business object using blocked data in the search criteria.	Help	ecc406af5db24b36a22c57d5f2b3dded	https://help.sap.com/docs/SAP_S4HANA_CLOUD/147436affce24e81892eee2076a78116/ecc406af5db24b36a22c57d5f2b3dded.html?version=2608.500		
Convergent Invoicing		China	Official document numbering (ODN)	Official document numbering (ODN) is not available for China in the standard system, but you can activate it.	Help	7df4a3ff7ba94a0ca98513e0f59a4cb6	https://help.sap.com/docs/SAP_S4HANA_CLOUD/147436affce24e81892eee2076a78116/7df4a3ff7ba94a0ca98513e0f59a4cb6.html?version=2608.500		
Create Golden Tax Documents - China		China	Paper invoice	Paper invoice is not supported.	Help	1ac1640c354d4797bae65535dd90f6ca	https://help.sap.com/docs/SAP_S4HANA_CLOUD/147436affce24e81892eee2076a78116/1ac1640c354d4797bae65535dd90f6ca.html?version=2608.500		
Manage Checkbooks - China		China	for the bearer or the person named on the check to redeem the check in cash.	It is not possible for the bearer or the person named on the check to redeem the check in cash.	Help	74f01457da6aa93ee10000000a4450e5	https://help.sap.com/docs/SAP_S4HANA_CLOUD/147436affce24e81892eee2076a78116/74f01457da6aa93ee10000000a4450e5.html?version=2608.500		
Manage Outgoing Checks - China		China	This kind of checks	This kind of checks does not support printing as the hardcopy of them is provided by banks.	Help	02442863803f49329690d65c407a11f1	https://help.sap.com/docs/SAP_S4HANA_CLOUD/147436affce24e81892eee2076a78116/02442863803f49329690d65c407a11f1.html?version=2608.500		
Cancelling Electronic Document - Contingency due to Technical Problems in your System		Colombia	This function	This function is not available for credit and debit memos.	Help	ed6d05bccf574934a923ec0c8967473e	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cb9131e59ba34741923bd19ef4cb1f90/ed6d05bccf574934a923ec0c8967473e.html?version=2608.500		
Defining Error Categories for Error Analysis (Recommended)		Colombia	Multiple user IDs	Multiple user IDs are not allowed in this field.	Help	ecc0924e481e4cb1af4833a53bdb1d6b	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cb9131e59ba34741923bd19ef4cb1f90/ecc0924e481e4cb1af4833a53bdb1d6b.html?version=2608.500		
Defining Error Categories for Error Analysis (Recommended)		Colombia	Multiple user IDs	Multiple user IDs are not allowed in this field.	Help	693337b755a04dbe9e40f24da80ac5d3	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cb9131e59ba34741923bd19ef4cb1f90/693337b755a04dbe9e40f24da80ac5d3.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Colombia	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	d4cdf3115b0e48c2b28f1b84cd214a1f	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cb9131e59ba34741923bd19ef4cb1f90/d4cdf3115b0e48c2b28f1b84cd214a1f.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Colombia	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	3909d99df8824a909d05c2dc29b3c508	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cb9131e59ba34741923bd19ef4cb1f90/3909d99df8824a909d05c2dc29b3c508.html?version=2608.500		
Generating the Report		Colombia	Please consider that electronic submission	Please consider that electronic submission is not available for Colombia.	Help	fe63969394144a1a8f739a72ee962902	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cb9131e59ba34741923bd19ef4cb1f90/fe63969394144a1a8f739a72ee962902.html?version=2608.500		
Magnetic Media		Colombia	The below video	The below video is not part of the SAP product documentation.	Help	ace5ff05cf0b460d8169ff3b1163a26b	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cb9131e59ba34741923bd19ef4cb1f90/ace5ff05cf0b460d8169ff3b1163a26b.html?version=2608.500		
Processing Invoices Under Contingency		Colombia	This function	This function is not available for credit and debit memos.	Help	0b56aa40f6b34c62b88900c8b39c6b70	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cb9131e59ba34741923bd19ef4cb1f90/0b56aa40f6b34c62b88900c8b39c6b70.html?version=2608.500		
Resubmitting Electronic Document - Contingency due to Technical Problems at the Tax Authorities		Colombia	This function	This function is not available for credit and debit memos.	Help	f52240280e5849c8b75f3b1165529aef	https://help.sap.com/docs/SAP_S4HANA_CLOUD/cb9131e59ba34741923bd19ef4cb1f90/f52240280e5849c8b75f3b1165529aef.html?version=2608.500		
Cancelling Electronic Customer Payment		Croatia	Cancel	Cancel is not possible in statuses:	Help	ab71f69144cb44839e46bc39a9de9205	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6bb5f95d7bf0435f9e5cb34bdb8e909e/ab71f69144cb44839e46bc39a9de9205.html?version=2608.500		
Croatia Employee Expense - Read		Croatia	With this service, it	With this service, it is not possible to:	Help	b09a261d90624f4fadef966e2a08be06	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6bb5f95d7bf0435f9e5cb34bdb8e909e/b09a261d90624f4fadef966e2a08be06.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Croatia	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	d7796f27ec8f418ea8facb86557f47e5	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6bb5f95d7bf0435f9e5cb34bdb8e909e/d7796f27ec8f418ea8facb86557f47e5.html?version=2608.500		
Read Access Logging Configurations in Document Compliance		Croatia	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	2746c4b38cc04368b112634a0002272b	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6bb5f95d7bf0435f9e5cb34bdb8e909e/2746c4b38cc04368b112634a0002272b.html?version=2608.500		
Read Access Logging Configurations in Document Compliance		Croatia	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	aeea221298494147afc59fa710bfeddd	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6bb5f95d7bf0435f9e5cb34bdb8e909e/aeea221298494147afc59fa710bfeddd.html?version=2608.500		
Read Access Logging Configurations in Document Compliance		Croatia	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	fc88ee47279349109172493355b061ea	https://help.sap.com/docs/SAP_S4HANA_CLOUD/6bb5f95d7bf0435f9e5cb34bdb8e909e/fc88ee47279349109172493355b061ea.html?version=2608.500		
Configuration for VAT Control Statement		Czech Republic	Section A3 and non-deductible input tax	Section A3 and non-deductible input tax are not available for including contract accounting data.	Help	ccf48f8370754f75bf6cc2e6842743f7	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a3c745f6b8cc43d0969b19c3e39f20ce/ccf48f8370754f75bf6cc2e6842743f7.html?version=2608.500		
Processing Unreliable Payer Validation		Czech Republic	The VAT payment split	The VAT payment split is not supported.	Help	670b770d7a244eb4bfdac57765fe1a95	https://help.sap.com/docs/SAP_S4HANA_CLOUD/a3c745f6b8cc43d0969b19c3e39f20ce/670b770d7a244eb4bfdac57765fe1a95.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Denmark	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	294f185f38ca451983f56ec215b586c7	https://help.sap.com/docs/SAP_S4HANA_CLOUD/359dc44d8b954b4fa6d8a160ef68be82/294f185f38ca451983f56ec215b586c7.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Denmark	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	e0eedc7067d845d9814c0bdb820014bc	https://help.sap.com/docs/SAP_S4HANA_CLOUD/359dc44d8b954b4fa6d8a160ef68be82/e0eedc7067d845d9814c0bdb820014bc.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Denmark	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	1a524e389e8b47fbb30d6dce2a3ee26c	https://help.sap.com/docs/SAP_S4HANA_CLOUD/359dc44d8b954b4fa6d8a160ef68be82/1a524e389e8b47fbb30d6dce2a3ee26c.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Denmark	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	2ece0fdfbeaa44a0857fcb4f46c2951f	https://help.sap.com/docs/SAP_S4HANA_CLOUD/359dc44d8b954b4fa6d8a160ef68be82/2ece0fdfbeaa44a0857fcb4f46c2951f.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Egypt	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	38cb686f0b594099af8c29479183e91d	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0c676015e0414931bdc9ebacd6eb2dff/38cb686f0b594099af8c29479183e91d.html?version=2608.500		
General Configuration for Read Access Logging in Electronic Documents		Egypt	Submission of eDocuments is	Submission of eDocuments is out of scope for RAL logging.	Help	4055aa93ef5344639fc380a3bcac214b	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0c676015e0414931bdc9ebacd6eb2dff/4055aa93ef5344639fc380a3bcac214b.html?version=2608.500		
Maintaining Effective Date of Integration with Tax Authorities		Egypt	Due to technical constraints this activity	Due to technical constraints this activity is excluded from the parallel project line.	Help	59e7e208129e400b9e9393159b98636e	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0c676015e0414931bdc9ebacd6eb2dff/59e7e208129e400b9e9393159b98636e.html?version=2608.500		
Maintaining Effective Date of Integration with Tax Authorities		Egypt	Updating effective date to a date in the past	Updating effective date to a date in the past is not allowed.	Help	59e7e208129e400b9e9393159b98636e	https://help.sap.com/docs/SAP_S4HANA_CLOUD/0c676015e0414931bdc9ebacd6eb2dff/59e7e208129e400b9e9393159b98636e.html?version=2608.500		
