ID,Role,Journey,Scenario,Screen (Lanes IA),Design must show,States to draw,Priority
O06,Operator,Triage,Stored secret unreadable,SAP systems,Re-save secret; lanes affected listed,all healthy; needs attention; stale; drill-in; handoff sent; resolved,P1
O07,Operator,Hygiene,Stale checks (> TTL),Board,Fade to Unknown; re-check all,all healthy; needs attention; stale; drill-in; handoff sent; resolved,P1
O08,Operator,Keys,Key never used / not used in 30 days,Operations › keys,Suggest revoke; owner notified,all healthy; needs attention; stale; drill-in; handoff sent; resolved,P1
O09,Operator,Audit,Find a call by correlation ID,Operations,"Search returns the lane, hop and outcome",all healthy; needs attention; stale; drill-in; handoff sent; resolved,P1
A01,Platform admin,Connect SAP,Add SAP system (basic / OAuth / API key) for an environment,SAP systems,Environment required; host allowlist; test on save,no systems; testing; OK; metadata OK/data refused; unreadable; deactivate impact,P0
A02,Platform admin,Health,Probe shows metadata OK but data read 403 for one service,SAP systems,"Per-service matrix, not one ""Reachable""",no systems; testing; OK; metadata OK/data refused; unreadable; deactivate impact,P0
A03,Platform admin,Change,Deactivate a SAP system used by 4 lanes,SAP systems,Impact list; confirm; lanes go amber,no systems; testing; OK; metadata OK/data refused; unreadable; deactivate impact,P1
A04,Platform admin,Rotate,Rotate comm-user secret,SAP systems,No downtime; probe after save,no systems; testing; OK; metadata OK/data refused; unreadable; deactivate impact,P1
A05,Platform admin,Revoke,Revoke a leaked key immediately,Operations › keys,Terminal; audit reason; owner told,no systems; testing; OK; metadata OK/data refused; unreadable; deactivate impact,P1
A06,Platform admin,Retire,"Retire an app (e.g., empty twin)",Apps,Keys stop; Try it refuses too,no systems; testing; OK; metadata OK/data refused; unreadable; deactivate impact,P1
X01,Any,Role,Admin opens Studio without write rights,Any,Controls visible but disabled with reason,as described,P0
X02,Any,Mobile,Reviewer approves from phone (375 px),Requests,Card layout; actions visible,as described,P0
X03,Any,Search,"Ask ""why is purchase orders failing in Test?""",Command bar,Answer links to the trace,as described,P1
X04,Any,Accessibility,Keyboard-only through review and Try it,All,"Focus order, visible focus, row keyboard access",as described,P1
X05,Any,Time zone,"Consultant in MYT sets expiry ""10 Dec""",Requests,Ends 23:59 MYT; shown with zone,as described,P1
X06,Client IT (explore),Passport,Client CIO views what data leaves SAP,Passport (read-only),"Apps, feeds, fields, approvals, expiry",read-only,P1
